parameter,p1_L1_plasmid,p1_L1_virus_rep1,p1_L1_virus_rep2,p1_L1_virus_rep3,p1_L1_virus_rep4,p1_L2_plasmid,p1_L2_virus_rep1,p1_L2_virus_rep2,p1_L2_virus_rep3,p1_L2_virus_rep4,p1_L3_plasmid,p1_T7_control,p1_WT_plasmid,p1_WT_virus
coverage,1537077002,350831260,389723544,374439719,282986976,1155364315,275761273,392663868,317046325,199905211,915583045,547664395,695198724,603345813
min.coverage,1346039,328323,350862,316553,188939,1074188,242922,342402,264884,114357,852882,462632,663338,535235
frct.codons,0.84667897711376,0.127842127842128,0.133587003152221,0.117695335086639,0.106821106821107,0.836494879973141,0.0760076847033369,0.0836923880402141,0.0820323429019081,0.0778542517672952,0.737302519911216,0.00712513755992017,0.0271202879898532,0.012403708055882
frct.aa,0.969623971797885,0.235428907168038,0.244124559341951,0.212925969447709,0.203349001175088,0.966098707403055,0.149177438307873,0.160869565217391,0.155405405405405,0.149823736780259,0.927085781433608,0.0213278495887192,0.0715628672150411,0.0361339600470035
mut.rate,0.00108934100101772,3.8927545966114e-4,3.7755737949463e-4,2.2827973546257e-4,1.6057982823916e-4,0.0012410336561243,6.5519714945615e-4,6.1436770647815e-4,4.8007495434618e-4,3.3704474066961e-4,9.8385177064959e-4,1.19051011158029e-6,2.72152398254402e-6,7.11863728471751e-6
rate.single,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rate.double,5.6628262531248e-4,2.0755847127191e-4,2.0455782368642e-4,1.158931539525e-4,8.31522366598242e-5,6.4411804167588e-4,3.1643674635923e-4,2.9551993309453e-4,2.3739117619483e-4,1.6661396585604e-4,5.130501297127e-4,6.31773770869293e-7,1.07019759144437e-6,6.48384378528869e-6
rate.triple,5.2305837570524e-4,1.8132078652284e-4,1.7266855194152e-4,1.1205809071766e-4,7.67137778100431e-5,5.9691561444841e-4,3.384557917964e-4,3.1860074276047e-4,2.4239675384977e-4,1.6977546423239e-4,4.7080164093689e-4,8.76449161899597e-8,8.81762262843279e-7,1.87288943695711e-7
s.rate,7.04519030986061e-6,4.72876903842605e-6,4.65458150508864e-6,4.4065838004755e-6,4.02845394552716e-6,7.76811251955622e-6,4.12313153196098e-6,3.82515459762139e-6,4.73432391938307e-6,5.00737321950052e-6,5.73951213786402e-6,7.303743015829981e-9,2.30150019665456e-8,9.94454568295811e-9
ns.rate,0.00104753763012844,3.8453528913016e-4,3.728899683823e-4,2.2368353502583e-4,1.5653370563598e-4,0.00119257448244799,6.5105951262416e-4,6.1050689797615e-4,4.751166883893e-4,3.3203736745011e-4,9.457995151057e-4,1.07912803058888e-6,2.61076428558002e-6,7.03908091925385e-6
stop.rate,3.47581805794268e-5,1.14014925579893e-8,1.28296072356357e-8,1.89616636262885e-7,1.76686576558209e-8,4.06910611567573e-5,1.45053000244889e-8,3.56539043719704e-8,2.23942037492471e-7,0,3.23127434060337e-5,1.04078337975577e-7,8.77446949974551e-8,6.96118197807068e-8
