parameter,p2_L1_plasmid,p2_L1_virus,p2_L2_plasmid,p2_L2_virus,p2_L3_plasmid,p2_L3_virus,p2_T7_control,p2_WT_plasmid,p2_WT_virus
coverage,407146179,269898741,504441116,238326806,371186970,246369335,402508991,239050612,221234719
min.coverage,521301,317254,593744,285690,462116,295679,498125,292909,282268
frct.codons,0.307445200302343,0.159486016628874,0.307364215527481,0.155841701760069,0.307526185077205,0.153709102688695,0.0106629953568729,0.00742360436237987,0.01044703595724
frct.aa,0.958163265306123,0.492261904761905,0.957908163265306,0.48078231292517,0.958418367346939,0.47406462585034,0.0335884353741497,0.0233843537414966,0.0327380952380952
mut.rate,0.00147121115436036,0.00161717686560087,0.00140635443364613,0.00113453876438893,0.00143138914601447,9.4923339383937e-4,1.47052615776227e-5,9.84728706739308e-6,2.15472509086605e-5
rate.single,6.47777170960507e-5,7.90852151474097e-5,7.06167655056889e-5,6.21205824409026e-5,6.7356890248599e-5,5.58754603124614e-5,1.44791796712934e-5,9.40386632434139e-6,2.09415593580499e-5
rate.double,5.6888413043414e-4,6.9633522299387e-4,5.400511404784e-4,4.7248566743264e-4,5.4829241446702e-4,3.8854267313746e-4,8.44701628043881e-8,3.76489310138223e-8,2.0340387893638e-7
rate.triple,8.3754930683016e-4,8.4168603068807e-4,7.9568652766203e-4,5.9988216348605e-4,8.1573984129884e-4,5.0473814040209e-4,2.23597489776322e-8,2.92825018996396e-8,4.97209481844484e-8
s.rate,1.57805730015214e-5,4.93518419191144e-5,1.43584647846192e-5,3.55016715996269e-5,1.4221943189439e-5,2.78890227957956e-5,0,0,9.040172397172431e-9
ns.rate,0.00144093701540055,0.00156781761349528,0.00137778221868814,0.00109903289687019,0.00140324699436513,9.2134031209687e-4,1.47052615776227e-5,9.84728706739308e-6,2.15382107362633e-5
stop.rate,1.44935659582845e-5,7.4101864743415e-9,1.42137501733701e-5,4.195919111172081e-9,1.39202084599036e-5,4.0589467029247e-9,0,0,0
