parameter,p1_L1_hela_rep1,p1_L1_hela_rep2,p1_L1_hela_rep3,p1_L1_hela_rep4,p1_L1_RPE,p1_L2_hela_rep1,p1_L2_hela_rep2,p1_L2_hela_rep3,p1_L2_hela_rep4,p1_L2_RPE,p1_L3_RPE
coverage,350831260,389723544,374439719,282986976,257523915,275761273,392663868,317046325,199905211,212163911,214407291
min.coverage,328323,350862,316553,188939,194595,242922,342402,264884,114357,160232,163942
frct.codons,0.127842127842128,0.133587003152221,0.117695335086639,0.106821106821107,0.0487195269803965,0.0760076847033369,0.0836923880402141,0.0820323429019081,0.0778542517672952,0.0470035252643948,0.0225691530039356
frct.aa,0.235428907168038,0.244124559341951,0.212925969447709,0.203349001175088,0.106639247943596,0.149177438307873,0.160869565217391,0.155405405405405,0.149823736780259,0.0983548766157462,0.0565217391304348
mut.rate,3.8927545966114e-4,3.7755737949463e-4,2.2827973546257e-4,1.6057982823916e-4,1.1262643316058e-4,6.5519714945615e-4,6.1436770647815e-4,4.8007495434618e-4,3.3704474066961e-4,1.5387631122618e-4,9.00295876598711e-5
rate.single,0,0,0,0,0,0,0,0,0,0,0
rate.double,2.0755847127191e-4,2.0455782368642e-4,1.158931539525e-4,8.31522366598242e-5,6.29494934480163e-5,3.1643674635923e-4,2.9551993309453e-4,2.3739117619483e-4,1.6661396585604e-4,8.58628591174491e-5,5.11083366096911e-5
rate.triple,1.8132078652284e-4,1.7266855194152e-4,1.1205809071766e-4,7.67137778100431e-5,4.93391070107023e-5,3.384557917964e-4,3.1860074276047e-4,2.4239675384977e-4,1.6977546423239e-4,6.76788051856755e-5,3.84968251849234e-5
s.rate,4.72876903842605e-6,4.65458150508864e-6,4.4065838004755e-6,4.02845394552716e-6,3.82100435215891e-6,4.12313153196098e-6,3.82515459762139e-6,4.73432391938307e-6,5.00737321950052e-6,7.55076578504438e-6,3.18552599967321e-6
ns.rate,3.8453528913016e-4,3.728899683823e-4,2.2368353502583e-4,1.5653370563598e-4,1.0875106492536e-4,6.5105951262416e-4,6.1050689797615e-4,4.751166883893e-4,3.3203736745011e-4,1.4629726541947e-4,8.68207415577113e-5
stop.rate,1.14014925579893e-8,1.28296072356357e-8,1.89616636262885e-7,1.76686576558209e-8,5.43638830591714e-8,1.45053000244889e-8,3.56539043719704e-8,2.23942037492471e-7,0,2.82800216668329e-8,2.33201024866267e-8
