parameter,p2_L1_hela,p2_L1_RPE,p2_L2_hela,p2_L2_RPE,p2_L3_hela,p2_L3_RPE
coverage,269898741,109928331,238326806,53807666,246369335,64498797
min.coverage,317254,136095,285690,66830,295679,78963
frct.codons,0.159486016628874,0.14067055393586,0.155841701760069,0.12825288845697,0.153709102688695,0.122934888241011
frct.aa,0.492261904761905,0.433078231292517,0.48078231292517,0.393877551020408,0.47406462585034,0.377721088435374
mut.rate,0.00161717686560087,0.00161928229402482,0.00113453876438893,0.00114935295650995,9.4923339383937e-4,9.7766164537921e-4
rate.single,7.90852151474097e-5,6.80079460134804e-5,6.21205824409026e-5,6.16826606082486e-5,5.58754603124614e-5,5.6109573640575e-5
rate.double,6.9633522299387e-4,6.827175425778e-4,4.7248566743264e-4,4.7264640692647e-4,3.8854267313746e-4,3.9786788581498e-4
rate.triple,8.4168603068807e-4,8.6842035289337e-4,5.9988216348605e-4,6.1476370300098e-4,5.0473814040209e-4,5.2349813594197e-4
s.rate,4.93518419191144e-5,4.93412385202137e-5,3.55016715996269e-5,3.51994453727095e-5,2.78890227957956e-5,2.58764516181596e-5
ns.rate,0.00156781761349528,0.00156994105550461,0.00109903289687019,0.0011141349264248,9.2134031209687e-4,9.5176968959591e-4
stop.rate,7.4101864743415e-9,0,4.195919111172081e-9,1.85847124459924e-8,4.0589467029247e-9,1.55041651397002e-8
