Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,BioProject,GenBank_Title
MZ488277,Echovirus E9,NA,"Guo,W., Ma,S.","Institute of Medical Biology, Chinese Academy of Medical Science, Genetic Laboratory",China,2024-01-01,115V3/YN/CHN/2019,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7448,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,feces,2019,NA,NA,"Echovirus E9 isolate 115V3/YN/CHN/2019, complete genome"
MZ488278,Echovirus E9,NA,"Guo,W., Ma,S.","Institute of Medical Biology, Chinese Academy of Medical Science, Genetic Laboratory",China,2024-01-01,133K3/YN/CHN/2019,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7448,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,feces,2019,NA,NA,"Echovirus E9 isolate 133K3/YN/CHN/2019, complete genome"
MZ488279,Echovirus E9,NA,"Guo,W., Ma,S.","Institute of Medical Biology, Chinese Academy of Medical Science, Genetic Laboratory",China,2024-01-01,121K3/YN/CHN/2019,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7447,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,feces,2019,NA,NA,"Echovirus E9 isolate 121K3/YN/CHN/2019, complete genome"
MZ488280,Echovirus E9,NA,"Guo,W., Ma,S.","Institute of Medical Biology, Chinese Academy of Medical Science, Genetic Laboratory",China,2024-01-01,115K3/YN/CHN/2019,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7445,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,feces,2019,NA,NA,"Echovirus E9 isolate 115K3/YN/CHN/2019, complete genome"
MZ488281,Echovirus E9,NA,"Guo,W., Ma,S.","Institute of Medical Biology, Chinese Academy of Medical Science, Genetic Laboratory",China,2024-01-01,123K3/YN/CHN/2019,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7450,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,feces,2019,NA,NA,"Echovirus E9 isolate 123K3/YN/CHN/2019, complete genome"
MN703763,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-01942-2003,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7341,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,cerebrospinal fluid,2003-07-05,NA,NA,"Echovirus E11 isolate TW-01942-2003 polyprotein gene, complete cds"
MN703764,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02173-2003,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7341,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,cerebrospinal fluid,2003-08-06,NA,NA,"Echovirus E11 isolate TW-02173-2003 polyprotein gene, complete cds"
MN703765,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02289-2003,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7325,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,cerebrospinal fluid,2003-08-19,NA,NA,"Echovirus E11 isolate TW-02289-2003 polyprotein gene, complete cds"
MN703766,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02299-2003,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7341,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,cerebrospinal fluid,2003-08-19,NA,NA,"Echovirus E11 isolate TW-02299-2003 polyprotein gene, complete cds"
MN703767,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02451-2003,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7376,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2003-09-05,NA,NA,"Echovirus E11 isolate TW-02451-2003 polyprotein gene, complete cds"
MN703768,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02479-2003,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7340,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2003-09-08,NA,NA,"Echovirus E11 isolate TW-02479-2003 polyprotein gene, complete cds"
MN703769,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02480-2003,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7395,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2003-09-08,NA,NA,"Echovirus E11 isolate TW-02480-2003 polyprotein gene, complete cds"
MN703770,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02563-2003,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7372,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2003-09-16,NA,NA,"Echovirus E11 isolate TW-02563-2003 polyprotein gene, complete cds"
MN703771,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02587-2003,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7296,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,cerebrospinal fluid,2003-09-18,NA,NA,"Echovirus E11 isolate TW-02587-2003 polyprotein gene, partial cds"
MN703772,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-03012-2003,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7341,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2003-11-05,NA,NA,"Echovirus E11 isolate TW-03012-2003 polyprotein gene, complete cds"
MN703773,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-03122-2003,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7343,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2003-11-17,NA,NA,"Echovirus E11 isolate TW-03122-2003 polyprotein gene, complete cds"
MN703775,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-03232-2003,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7341,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,cerebrospinal fluid,2003-11-29,NA,NA,"Echovirus E11 isolate TW-03232-2003 polyprotein gene, complete cds"
